12	Codex Language Specification — Version 1.0.0	All normative requirements for Codex 1.0.0 MUST appear exactly once in this document.
198	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.2 Trait	A Trait instance MUST NOT have independent identity.
200	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.2 Trait	A Concept instance MUST NOT declare two or more Traits with the same Trait name. A violation MUST be rejected with a `SurfaceFormError` (§14).
202	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.2 Trait	Trait meaning and permissibility MUST be defined by the governing schema, except for language-level traits whose meaning is defined by this specification (§6, §7).
208	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.3 Value	A Value instance MUST be expressed using one of the literal spellings defined by this specification.
210	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.3 Value	A Value instance MUST be treated as declarative and immutable.
212	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.3 Value	Codex-conforming tools MUST parse Value spellings mechanically and MUST NOT evaluate Values as expressions.
214	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.3 Value	The meaning of a Value beyond its literal form MUST be defined by the governing schema or consuming system.
220	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.4 Content	Content MUST NOT be treated as a Value.
222	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.4 Content	Content MUST NOT be typed, evaluated, or interpreted as Concepts, Traits, Values, or Annotations.
224	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.4 Content	Content MUST be preserved through Codex-conforming processing, subject only to the surface-form normalization and canonicalization rules defined by this specification.
232	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.5 Entity	The governing schema MUST declare exactly one `entityEligibility` value for each Concept. The valid values are:
234	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.5 Entity	- `$MustBeEntity`: each instance of that Concept MUST declare an `id` Trait.
235	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.5 Entity	- `$MustNotBeEntity`: each instance of that Concept MUST NOT declare an `id` Trait.
237	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.5 Entity	If the governing schema does not declare `entityEligibility` for a Concept, schema validation MUST fail with a `SchemaError` (§14).
239	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.5 Entity	Codex-conforming formatting and canonicalization MUST NOT synthesize identity by adding an `id` Trait or inventing an identifier value.
245	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.6 Marker	Markers MUST be one of:
251	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.6 Marker	Markers MUST delimit Concept structure and nesting.
253	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.6 Marker	Each closing marker MUST match the most recent unclosed opening marker. If a closing marker does not match, or if any opening marker remains unclosed at end of input, the document MUST be rejected with a `ParseError` (§14).
255	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.6 Marker	A self-closing marker MUST represent a Concept with no children and no Content.
261	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.7 Annotation	Annotations MUST NOT affect parsing, schema validation outcomes, or domain semantics.
263	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.7 Annotation	Annotations MUST be preserved through Codex-conforming processing, subject only
278	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms	* **PascalCase**: a name composed only of ASCII letters and digits; the first character MUST be an ASCII uppercase letter.
279	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms	* **camelCase**: a name composed only of ASCII letters and digits; the first character MUST be an ASCII lowercase letter.
281	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms	A name MUST contain at least one character.
283	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms	Concept names MUST use PascalCase.
285	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms	Trait names MUST use camelCase.
293	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms > 4.1.1 Qualified Names	A **namespace prefix** MUST be a camelCase name (same form as a Trait name per §4.1).
300	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms > 4.1.1 Qualified Names	The namespace prefix and the local name MUST each satisfy the naming rules of §4.1 and §4.2 independently.
302	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms > 4.1.1 Qualified Names	Qualified names MUST only appear in contexts where schema imports are in effect (§11.2.1). The namespace prefix MUST resolve to an imported schema via the document's `SchemaImports` declarations.
304	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.1 Name Forms > 4.1.1 Qualified Names	Language-level Trait names (`id`, `key`, `reference`, `target`, `for`) MUST NOT be namespace-qualified. These Traits are defined by this specification (§6–§7), not by any schema.
308	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.2 Consecutive Uppercase Restriction	Concept names and Trait names MUST NOT contain three or more consecutive ASCII uppercase letters.
314	Codex Language Specification — Version 1.0.0 > 4. Naming Rules > 4.3 Acronyms and Initialisms (Author Responsibility)	Authors MUST write acronyms and initialisms as single words with only the first letter capitalized.
333	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	In the Surface Form, Text Values MUST be spelled as quoted text literals or backtick text (see §5.2). Appendix A.1.8 and A.2.8 provide informative grammar projections of these rules.
335	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	A quoted text literal is delimited by double-quote characters (`"..."`) and MUST NOT contain raw newlines (U+000A). Within the quotes, any Unicode scalar value other than `"` (U+0022), `\` (U+005C), or newline (U+000A) may appear literally. The `\` character introduces an escape sequence. The permitted escape sequences are:
342	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	Hexadecimal digits in escape sequences are case-insensitive for parsing. A Unicode escape MUST identify a Unicode scalar value (U+0000 to U+D7FF or U+E000 to U+10FFFF).
344	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	After interpreting escape sequences, the resulting character sequence MUST be transformed into the resulting Text Value by applying the following whitespace normalization:
346	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	- Each maximal run of characters with the Unicode `White_Space` property (as defined by Unicode 16.0.0) MUST be replaced with a single U+0020 SPACE.
347	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	- Leading and trailing U+0020 SPACE MUST be removed.
349	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.1 Text Values	This normalization applies to all Text Value spellings (quoted text and backtick text). The resulting Text Value MUST be single-line.
355	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.2 Backtick Text	Backtick text MUST allow authors to write Text Values that span multiple source lines.
366	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.3 Boolean Values	In the Surface Form, Boolean Values MUST be spelled as the tokens `true` and `false`.
374	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values	When the surface spelling could match multiple type grammars, the type MUST be the first match in this order: ComplexNumber, ImaginaryNumber, PrecisionNumber, ExponentialNumber, Fraction, PositiveInfinity, NegativeInfinity, DecimalNumber, Integer.
376	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values	Codex performs no arithmetic and no numeric normalization. Spellings MUST be preserved exactly. Value-level `+` signs MUST NOT appear; absence of a sign indicates a positive value. Exponent signs in ExponentialNumber (§5.4.3) and complex-number signs in ComplexNumber (§5.4.9) are not value-level signs.
378	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values	Integer digit sequences MUST NOT have leading zeros, except that the single digit `0` is permitted. A sign character (if present) is not part of the integer component. This applies to: Integer values, the integer part of DecimalNumber, the exponent digits of ExponentialNumber, the precision suffix digits of PrecisionNumber, and Fraction denominators.
380	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values	NaN MUST NOT appear.
382	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values	When mapped to XSD datatypes for the RDF canonical representation (§9), `Infinity` MUST be translated to `INF` and `-Infinity` MUST be translated to `-INF`.
390	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values > 5.4.1 Integer	The spelling `-0` MUST NOT appear. A conforming implementation MUST reject it as a `SurfaceFormError` (§14).
421	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values > 5.4.4 PrecisionNumber	Consuming systems MUST preserve the declared precision.
429	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values > 5.4.5 Fraction	The denominator MUST NOT be `0`. A conforming implementation MUST reject a zero denominator as a `SurfaceFormError` (§14).
431	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values > 5.4.5 Fraction	Fractions MUST NOT be reduced or normalized. The spelling is preserved exactly.
445	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values > 5.4.7 NegativeInfinity	`+Infinity` MUST NOT appear. `$Infinity` (§11.5) is a union type token accepting either PositiveInfinity or NegativeInfinity. It is not a parent type.
461	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.4 Numeric Values > 5.4.9 ComplexNumber	The meaning of any value of these types beyond its literal spelling MUST be defined by the governing schema or consuming system.
467	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.5 Enumerated Token Values	In the Surface Form, Enumerated Token Values MUST be spelled with a leading `$` sigil followed by a token name. The token name MUST use PascalCase. An Enumerated Token Value spelling may include type parameters as defined in §5.18.
469	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.5 Enumerated Token Values	Enumerated Token Values MUST NOT be treated as Text Values.
471	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.5 Enumerated Token Values	Enumerated Token Values MUST NOT be evaluated.
477	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values	In the Surface Form, Temporal Values MUST be spelled as `{` followed by a Temporal Body followed by `}`.
481	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values	During semantic validation, when a schema declares an expected temporal value type (for example, `$PlainDate`), tools MUST parse the braced payload into that temporal type and MUST reject values that are semantically invalid for that type (for example, an impossible date).
483	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values	Temporal Keywords (`{now}` and `{today}`) MUST remain symbolic during semantic validation unless the governing schema explicitly defines otherwise; they MUST NOT be evaluated implicitly.
487	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.1 Temporal Kind Determination	To classify a Temporal Value as a specific temporal kind, tools MUST parse the Temporal Body using the spelling rules defined in §5.6.2.
491	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.1 Temporal Kind Determination	The temporal kind MUST be determined by the first matching alternative in the following ordered list:
504	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.1 Temporal Kind Determination	Temporal Values MUST NOT be treated as Enumerated Token Values, even when the braced payload is a reserved literal such as `now` or `today`.
514	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- A `Year` MUST be spelled as exactly four decimal digits (`0`–`9`).
515	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- A `Month` MUST be spelled as exactly two decimal digits.
516	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- A `Day` MUST be spelled as exactly two decimal digits.
517	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- An `Hour` MUST be spelled as exactly two decimal digits.
518	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- A `Minute` MUST be spelled as exactly two decimal digits.
519	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- A `Second` MUST be spelled as exactly two decimal digits.
520	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- `FractionalSeconds` MUST be spelled as one or more decimal digits.
521	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	- A `WeekNumber` MUST be spelled as exactly two decimal digits.
525	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `PlainDate` MUST be spelled as `Year`, `-`, `Month`, `-`, `Day` (for example, `2024-03-15`).
529	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `YearWeek` MUST be spelled as `Year`, `-`, `W` or `w`, `WeekNumber` (for example, `2024-W12`).
533	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `PlainYearMonth` MUST be spelled as `Year`, `-`, `Month` (for example, `2024-03`).
537	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `PlainMonthDay` MUST be spelled as `Month`, `-`, `Day` (for example, `03-15`).
541	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `PlainTime` MUST be spelled as `Hour`, `:`, `Minute`, optionally followed by `:`, `Second`, which itself is optionally followed by `.`, `FractionalSeconds` (for example, `14:30`, `14:30:00`, `14:30:00.123`).
545	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `PlainDateTime` MUST be spelled as a `PlainDate`, followed by `T`, followed by a `PlainTime` (for example, `2024-03-15T14:30:00`).
549	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A timezone offset MUST be spelled as either `Z` or as `+` or `-` followed by `Hour`, `:`, `Minute` (for example, `Z`, `+05:30`, `-08:00`).
553	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A timezone identifier MUST be spelled as `[`, followed by one or more timezone identifier characters, followed by `]`. A timezone identifier character MUST be an ASCII letter, an ASCII digit, `/`, `_`, or `-` (for example, `[America/New_York]`).
557	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	An `Instant` MUST be spelled as a `PlainDateTime` followed by a timezone offset (for example, `2024-03-15T14:30:00Z`).
561	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `ZonedDateTime` MUST be spelled as a `PlainDateTime`, followed by a timezone offset, followed by a timezone identifier (for example, `2024-03-15T14:30:00-05:00[America/New_York]`).
565	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `Duration` MUST be spelled in one of two forms:
570	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A date duration component MUST be spelled as one or more decimal digits followed by one of `Y`, `M`, `W`, or `D`.
572	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A time duration component MUST be spelled as one or more decimal digits, optionally followed by `.` and one or more decimal digits, followed by one of `H`, `M`, or `S`.
578	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.6 Temporal Values > 5.6.2 Temporal Spelling Rules	A `TemporalKeyword` MUST be exactly `now` or `today`.
582	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values	A Color Value MUST NOT be treated as a Text Value.
586	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values	During semantic validation, when a schema declares an expected color value type (for example, `$Color` or a more specific built-in color type), tools MUST interpret the lexical spelling into a semantic color value of the expected type and MUST reject values that cannot be converted into a valid color in that type.
588	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values	In the Surface Form, Color Values MUST be spelled using one of the following literal forms:
604	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values	Hex digits in hexadecimal colors are case-insensitive for parsing. In canonical surface form, hexadecimal digits in Color Values MUST be lowercase.
606	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values	Color function names are case-insensitive for parsing. In canonical surface form, color function names MUST be lowercase.
608	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values	Color space tokens in `color(...)` are case-insensitive for parsing. In canonical surface form, color space tokens MUST be lowercase. The color space token MUST be one of:
622	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.1 Color Kind Determination	To classify a Color Value as a specific color kind, tools MUST identify the surface spelling and apply the first matching rule in the following ordered list:
645	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.2 Named Color Values	In the Surface Form, a Named Color Value MUST be spelled as `&` followed immediately by a color name.
647	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.2 Named Color Values	The color name MUST consist only of ASCII lowercase letters (`a` through `z`).
649	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.2 Named Color Values	The color name MUST be one of the named color keywords defined in Appendix B; an unrecognized color name is a ParseError (§14).
651	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.2 Named Color Values	During semantic validation, a recognized named color MUST be interpreted as the sRGB RGBA value defined for that keyword in Appendix B.
664	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	tools MUST:
670	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	Tools MUST NOT clamp, normalize, wrap hues, or apply gamut mapping.
672	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	For `lch(...)` and `oklch(...)`, hue MUST satisfy the Hue rule defined in §5.7.4.
676	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	The conversion MUST be computed using a deterministic binary floating-point arithmetic model with precision `p = 256` bits, using round-to-nearest ties-to-even.
678	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	Every non-dot-product arithmetic operation used by this subsection (addition, subtraction, multiplication, division, comparisons, and the cube computations used by the `lab(...)` transfer) MUST compute its result in this `p = 256` model, rounding to `p = 256` before any subsequent operation.
680	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	All matrix-vector multiplications in this subsection MUST be evaluated using the following single mandated dot-product procedure.
688	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	Each matrix-vector product component MUST be computed by applying the above procedure to the corresponding matrix row and input vector.
692	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	The trigonometric functions `sin` and `cos` used by `lch(...)` and `oklch(...)` MUST be computed as correctly-rounded results in precision `p = 256`.
694	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	The functions `sqrt`, `cbrt`, and `atan2` used by §5.7 MUST be computed as correctly-rounded results in precision `p = 256`.
696	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	The real-exponent power computations required by §5.7 (for example, raising a channel to `2.4`, `1/2.4`, `563/256`, `256/563`, `1.8`, `1/1.8`, `0.45`, and `1/0.45`) MUST be computed as correctly-rounded results in precision `p = 256`.
698	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.3 Deterministic Conversion-Based Validity (Lab/LCH, OKLab/OKLCH)	Tools MUST NOT use lower-precision arithmetic for any intermediate step, and MUST NOT approximate this procedure using binary64 or binary128.
821	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	These rules apply only during schema-driven semantic validation. They MUST NOT rewrite or normalize the canonical surface spelling.
825	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	All arithmetic required by this subsection (including percent conversion, normalization by division, and range comparisons) MUST be performed using the deterministic binary floating-point model defined by §5.7.3 (precision `p=256`, round-to-nearest ties-to-even).
827	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	All component inputs and computed intermediates used by this subsection MUST be finite, per the non-finite rejection rule in §5.7.3.
837	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	Newlines MUST NOT appear inside color function parentheses. Whitespace inside color function parentheses consists of spaces (U+0020) and tabs (U+0009) only.
