2640	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture	A conforming implementation MUST provide schema-directed validation.
2724	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	- Canonicalization of the Canonical Representation MUST make semantically identical graphs byte-identical.
2730	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface)	To support a total, deterministic projection to derived validation artifacts, simplified-mode schema authoring MUST support the following extensions.
2734	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags	The following atomic constraints MUST support an optional `flags` trait whose value is text:
2740	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags	If `flags` is omitted, it MUST be treated as empty text.
2742	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags	The `pattern` and `flags` semantics MUST be SPARQL 1.1 `REGEX` semantics.
2746	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	Simplified Authoring Mode MUST support explicit validator definitions that make `ValueIsValid` deterministic.
2754	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	Each `ValidatorDefinition` MUST have these traits:
2760	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	`ValidatorDefinition` names MUST be unique within the Schema.
2762	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	Each `ValidatorDefinition` MUST be in content mode.
2764	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	The content of `ValidatorDefinition` MUST be a SPARQL `SELECT` query text.
2766	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	The `SELECT` results MUST follow the SHACL-SPARQL convention (returning one row per violation with `?this` bound to the focus node).
2768	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	If a derived validation artifact is expressed using SHACL-SPARQL, the embedding contract for `ValueIsValid validatorName=$X` MUST be:
2773	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions	If `$X` cannot be resolved to exactly one `ValidatorDefinition`, schema processing MUST fail with a `SchemaError` (§14).
2779	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms	To produce a total, deterministic mapping, Simplified Authoring Mode MUST provide explicit rule-node forms that bind exactly one path to exactly one nested rule.
2781	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms	Simplified Authoring Mode MUST provide the following rule nodes:
2787	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms	Each of these MUST have exactly one `Path` child and exactly one `Rule` child.
2789	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms	`OnPathCount` MUST additionally have:
2794	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms	The `Path` child MUST be exactly one of:
2801	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms	`ChildSatisfies(conceptSelector=X, Rule=R)` MUST be interpreted as equivalent to `OnPathForAll(Path=ChildPath(X), Rule=R)`.
2814	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping	the constraint node MUST have exactly one `Path` child that selects the collection members the constraint applies to.
2816	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping	That member-selection path MUST be either `ChildPath` or `DescendantPath`.
2818	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping	If the member-selection path is not one of these, expansion MUST fail with a `SchemaError` (§14).
2820	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping	For `CollectionAllowsDuplicates` with `allowed=false`, the constraint node MUST include a required `keyTrait` trait whose value is a Trait name.
2822	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping	If `keyTrait` is `id`, it MUST refer to the declared identifier as specified by the instance-graph identity rules.
2828	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL)	The Canonical Representation MUST be deterministic and canonical:
2830	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL)	- The Canonical Representation MUST NOT contain RDF blank nodes.
2831	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL)	- All RDF nodes in the Canonical Representation MUST be IRIs.
2832	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL)	- Where SHACL commonly uses blank nodes (for example, `sh:property` values and RDF lists), the Canonical Representation MUST use deterministically derived skolem IRIs instead.
2833	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL)	- The Canonical Representation MUST be treated as a set of RDF triples.
2834	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL)	- The Canonical Representation MUST NOT contain duplicate triples.
2838	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.1 Canonical Triple Form	When the Canonical Representation is authored as a Codex graph form, it MUST use:
2843	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.1 Canonical Triple Form	`RdfGraph` MUST be in children mode.
2845	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.1 Canonical Triple Form	`RdfGraph` children MUST include one or more `RdfTriple`. `RdfGraph` children MUST be `RdfTriple` children and annotations only; no other Concept children are allowed.
2847	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.1 Canonical Triple Form	Each `RdfTriple` MUST have these traits:
2862	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.1 Canonical Triple Form	If `language` is present, `datatype` MUST be absent.
2864	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.1 Canonical Triple Form	If `datatype` is absent and `language` is absent, the literal datatype MUST be `xsd:string`.
2870	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	`objectKey` MUST be:
2875	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	`datatypeOrDefault` MUST be: `datatype` if present; otherwise `rdf:langString` if `language` is present; otherwise `xsd:string`.
2877	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	`languageOrEmpty` MUST be: `language` if present; otherwise the empty string.
2879	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	If two triples have identical sort keys, the duplicate MUST be removed.
2881	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	When an `RdfGraph` contains no grouping annotations (§8.9.7), all `RdfTriple` children MUST be sorted by sort key.
2885	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	1. Within each group, `RdfTriple` children MUST be sorted by sort key.
2886	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	2. Groups at the same nesting level MUST be sorted in ascending lexicographic order of their canonical group label.
2887	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	3. `RdfTriple` children not enclosed in any group MUST be sorted by sort key and MUST appear before all groups at the same nesting level.
2888	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.2 Canonical Ordering and Duplicate Removal	4. An attached annotation (§8.9.6.1) on an `RdfTriple` MUST move with that triple during sorting.
2892	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.3 RDF List Encoding (No Blank Nodes)	If the Canonical Representation includes an RDF list (for example, as the object of `sh:in`), it MUST be encoded using the standard RDF list vocabulary (`rdf:first`, `rdf:rest`, `rdf:nil`).
2894	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.3 RDF List Encoding (No Blank Nodes)	All RDF list nodes MUST be IRIs.
2896	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.3 RDF List Encoding (No Blank Nodes)	Where the RDF list encoding would otherwise use blank nodes, the Canonical Representation MUST use deterministically derived skolem IRIs instead.
2898	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.3 RDF List Encoding (No Blank Nodes)	At most one RDF list MUST be attached as the object of triples sharing a given `(subject, predicate)` pair.
2900	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.3 RDF List Encoding (No Blank Nodes)	For an RDF list attached as the object of a triple `(subject, predicate, _)`, list node IRIs MUST be derived as follows:
2905	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.3 RDF List Encoding (No Blank Nodes)	- The final list node's `rdf:rest` MUST be `rdf:nil`.
2909	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.4 Deterministic IRI Hashing	When a derived IRI embeds another IRI or name as a path component, the embedded value MUST be hashed to produce fixed-length, path-safe text.
2911	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.4 Deterministic IRI Hashing	`iriHash(value)` MUST be computed as:
2919	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.5 Deterministic Derived IRIs (One Way To Say It)	To preserve "one way to say it", every derived IRI used by schema processing, instance graph mapping, and derived validation artifact generation MUST be computed by a single deterministic algorithm.
2930	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.6 Node Shape IRIs	The node shape IRI for a concept class IRI `K` MUST be deterministically derived as:
2936	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.7 Property Shape IRIs	Each property shape MUST have a deterministic IRI.
2952	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.8 Document Node Shape IRI	The document node shape IRI MUST be deterministically derived as:
2958	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.6 Canonical Representation (RDF / SHACL) > 9.6.9 SPARQL Constraint IRIs	Each SHACL-SPARQL constraint node emitted for a `ConstraintDefinition` MUST have a deterministic IRI.
2968	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping	The mapping MUST be deterministic and MUST NOT use RDF blank nodes.
2972	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping	If `documentBaseIri` is missing, the mapping MUST fail with a `SchemaError` (§14).
2976	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.1 Document Node	The instance graph MUST include a single document node.
2978	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.1 Document Node	The RDF node IRI for the Document context MUST be exactly `documentBaseIri`.
2982	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.2 Node Identity and Declared Identifiers	Each Concept instance in the Codex document MUST map to exactly one RDF node whose identity is a deterministic skolem IRI derived from its structural position within the document. The `codex:` prefix used in this section is shorthand; full IRI derivations are defined in §9.7.5.
2999	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.2 Node Identity and Declared Identifiers > 9.7.2.1 Skolem IRI Derivation (`nodeIri`)	`ordinalIndex(C)` MUST be zero-based.
3001	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.2 Node Identity and Declared Identifiers > 9.7.2.1 Skolem IRI Derivation (`nodeIri`)	`ordinalIndex(C)` MUST be expressed in base-10 with no leading zeros (except that `0` is permitted).
3011	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.2 Node Identity and Declared Identifiers > 9.7.2.1 Skolem IRI Derivation (`nodeIri`)	The RDF node IRI MUST NOT be derived from the Concept instance's declared `id` trait value.
3013	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.2 Node Identity and Declared Identifiers > 9.7.2.1 Skolem IRI Derivation (`nodeIri`)	If a Concept instance declares an `id` trait, that declared identifier MUST be represented as data via a dedicated predicate `codex:declaredId`.
3015	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.2 Node Identity and Declared Identifiers > 9.7.2.1 Skolem IRI Derivation (`nodeIri`)	If a concept instance `C` declares an `id` trait with value `v`, the mapping MUST emit:
3021	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.3 Entity Marker	If and only if a Concept instance is an Entity, the mapped RDF node MUST be marked as an Entity using a dedicated predicate `codex:isEntity`.
3023	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.3 Entity Marker	The mapping MUST emit an entity marker for every Concept instance node:
3030	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.4 Parent Link and Ordered Children	For each non-root Concept instance, the instance graph MUST include a parent link using a dedicated predicate `codex:parentNode`.
3032	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.4 Parent Link and Ordered Children	For each parent Concept instance `C` and each direct child Concept instance `D`, the instance graph MUST emit:
3036	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.4 Parent Link and Ordered Children	For each child Concept instance `D` of parent Concept instance `C`, the instance graph MUST emit the structural child triple:
3040	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.4 Parent Link and Ordered Children	The instance graph MUST additionally represent the ordered child sequence using explicit edge nodes that carry a stable numeric index (see §9.7.6).
3068	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	Their IRIs MUST be deterministically derived from `schemaIri` as follows:
3070	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:parent` MUST be `schemaIri + "#codex/parent"`
3071	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:child` MUST be `schemaIri + "#codex/child"`
3072	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:index` MUST be `schemaIri + "#codex/index"`
3073	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:parentNode` MUST be `schemaIri + "#codex/parentNode"`
3074	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:isEntity` MUST be `schemaIri + "#codex/isEntity"`
3075	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:declaredId` MUST be `schemaIri + "#codex/declaredId"`
3076	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:content` MUST be `schemaIri + "#codex/content"`
3077	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationParent` MUST be `schemaIri + "#codex/annotationParent"`
3078	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationIndex` MUST be `schemaIri + "#codex/annotationIndex"`
3079	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationText` MUST be `schemaIri + "#codex/annotationText"`
3080	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationForm` MUST be `schemaIri + "#codex/annotationForm"`
3081	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationKind` MUST be `schemaIri + "#codex/annotationKind"`
3082	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationDirective` MUST be `schemaIri + "#codex/annotationDirective"`
3083	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:annotationTarget` MUST be `schemaIri + "#codex/annotationTarget"`
3084	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:mapKey` MUST be `schemaIri + "#codex/mapKey"`
3085	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:mapValue` MUST be `schemaIri + "#codex/mapValue"`
3086	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:rangeStart` MUST be `schemaIri + "#codex/rangeStart"`
3087	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:rangeEnd` MUST be `schemaIri + "#codex/rangeEnd"`
3088	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.5 Reserved Predicates	- `codex:rangeStep` MUST be `schemaIri + "#codex/rangeStep"`
3098	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.6 Ordered Children Encoding	The mapping MUST emit an edge node `e` and three triples:
3104	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.6 Ordered Children Encoding	The edge node IRI MUST be:
3115	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.7 Annotation Nodes	The mapping MUST emit an annotation edge node `e` with the following triples:
3123	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.7 Annotation Nodes	The annotation edge node IRI MUST be:
3127	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.7 Annotation Nodes	If the annotation has a block directive (§8.9.5), the mapping MUST additionally emit:
3133	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.7 Annotation Nodes	If the annotation is an attached annotation (§8.9.6.1), the mapping MUST additionally emit:
3139	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	For each trait `t=v` on a concept instance `C`, the instance graph MUST emit exactly one triple:
3145	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	- If `t` is `id`, the mapping MUST NOT emit a `traitPredicateIri("id")` triple.
3146	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms	- Instead, `id` MUST be represented only by `codex:declaredId`, with the `id` value as an IRI (not a literal).
